Name,T90,Flnc,Flnc_err,Pflux1024,Pflux1024_err,Pflux64,Pflux64_err,PfluxBand,PfluxBand_err,Norm,Epk,alpha,alpha_perr,alpha_nerr,beta,W
GRB090323002,135.17,0.00011809,1.7385e-7,12.6484,0.218,14.3349,0.8384,3.20072e-6,1.35628e-7,0.04782742,457.8296,-0.6284664,0.0597177,0.0597177,-6.253501,0.90
GRB090328401,61.697,0.000042022,6.5336e-8,17.2311,0.3264,25.3516,1.4978,3.998462e-6,1.258004e-7,0.06138679,457.6547,-0.7835138,0.04177191,0.04177191,-4.451701,0.96
GRB090328713,0.192,1.1901e-7,1.8397e-8,1.9731,0.215,17.3474,1.4505,7.11628e-6,5.534379e-7,0.05707588,1203.962,-0.8176868,0.1204912,0.1204912,-2.151468,2.59
GRB090330279,73.473,0.000011813,4.0513e-8,5.5415,0.1779,7.4912,0.8532,1.048555e-6,9.723509e-8,0.01748296,423.3603,-0.9424595,0.1187195,0.1187195,-2.89614,1.10
GRB090331681,0.832,3.4457e-7,3.456e-8,1.9712,0.1578,7.1947,0.8156,2.831273e-6,4.091576e-7,0.02272513,921.3348,-0.6365237,0.3010149,0.3010149,-15.96244,0.90
GRB090403314,14.848,1.0923e-6,1.9341e-8,1.8152,0.2069,3.0241,1.0752,1.623246e-7,9.269594e-8,0.002333541,529.3149,-1.051917,0.6112609,0.6112609,-4.413363,1.09
GRB090405663,0.448,2.5351e-7,3.1039e-8,1.1647,0.1836,6.726,1.0768,2.534528e-6,4.06544e-7,0.01815711,1739.317,-0.8481134,0.2747404,0.2747404,-3.097455,1.02
GRB090409288,30.337,1.1298e-6,5.9385e-8,1.5968,0.1444,3.6854,0.7936,9.431289e-8,5.844674e-8,0.1065324,100.4231,1.260762,1.578583,1.578583,-9.726612,0.57
GRB090412061,0.896,1.2463e-7,1.3569e-8,0.8667,0.1962,4.1236,1.1989,1.479539e-6,4.654503e-7,0.01469965,576.9313,-0.252283,0.7750593,0.7750593,-14.49421,0.79
GRB090413122,32.513,3.2266e-6,4.9155e-8,3.0377,0.1663,4.4214,0.6364,4.003599e-7,8.116457e-8,0.01281655,230.3907,-0.7682741,0.3051713,0.3051713,-3.313711,0.96
